mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda,mRNA_FC,miRNA_FC
PITPNM1,hsa-mir-744,0.162558894,0.005442215,0.036193977,-0.449460679,0.009859012,0.091295657,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.940015210755662,1.520303442475859
HOXB2,hsa-mir-132,-0.255181978,1.05E-05,0.000275787,0.502618309,0.003371227,0.04774373,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.7761201047905751,1.0807607447738417
MLXIPL,hsa-mir-1976,-0.162377497,0.005495123,0.03645276,0.535862482,0.001572719,0.029950409,targetprofiler-Yes,targetscan-Yes,miRanda-NO,1.9709779034596298,1.6584822814335944
EPHB4,hsa-mir-18a,-0.188591512,0.00122783,0.011896491,0.444372018,0.01083368,0.096566673,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.6903742366934842,1.6184871472490279
KATNB1,hsa-mir-424,0.134755352,0.021484712,0.097170186,-0.477762015,0.005685349,0.065492439,targetprofiler-Yes,targetscan-NO,miRanda-Yes,1.5714819634914972,0.2985217909255005
AQP3,hsa-mir-151,0.288438736,5.56E-07,2.38E-05,-0.458584742,0.008296519,0.08226964,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.08176610034891119,1.2041876363230581
PLA2R1,hsa-mir-203,0.134348926,0.021885007,0.098423334,-0.770138263,2.55E-07,0.000108579,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.10264303753631776,0.5891323741828147
SLC8A3,hsa-mir-942,-0.177924591,0.002315648,0.019210213,0.444631456,0.010782094,0.09628257,targetprofiler-Yes,targetscan-Yes,miRanda-NO,1.5694300714772231,2.1910991965190476
SAMD13,hsa-mir-452,-0.313497913,4.68E-08,2.84E-06,0.560809339,0.000841578,0.020340896,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.785751128821776,1.2561564961607434
IP6K2,hsa-mir-1251,0.215502044,0.000212244,0.003085839,-0.525843436,0.001995151,0.034709601,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.2938502235391771,0.20895455259041573
CCDC6,hsa-mir-372,0.192589475,0.00095945,0.009854594,-0.636554595,8.98E-05,0.004966753,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.9043218908274053,0.8991642166579353
TFF1,hsa-mir-940,0.220897165,0.000145259,0.002294135,-0.538599681,0.001471866,0.028748304,targetprofiler-NO,targetscan-NO,miRanda-Yes,2.0769766127975577,1.0800878066046804
CTH,hsa-mir-137,0.237897045,4.14E-05,0.000842021,-0.471377687,0.006462846,0.070782612,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.3239330871150509,0.9925207464346137
SLC26A2,hsa-mir-21,-0.155486645,0.007880076,0.047465627,0.570369458,0.000653556,0.017326574,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.8299730505216132,7.929934683042985
GNE,hsa-mir-96,-0.196693935,0.000741052,0.00809402,0.730783881,2.04E-06,0.000441309,targetprofiler-NO,targetscan-Yes,miRanda-Yes,1.0783654485344385,3.155378758196169
CD200,hsa-mir-410,-0.188093013,0.001265745,0.012175136,0.617227226,0.000167922,0.007399756,targetprofiler-NO,targetscan-Yes,miRanda-NO,3.976264852815489,0.35587339719668115
PLCXD1,hsa-mir-151,0.157148336,0.007233066,0.044612863,-0.55111409,0.001079287,0.023755603,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.4787536274999709,1.2041876363230581
GALNT6,hsa-mir-17,-0.152065448,0.009376796,0.053865843,0.634268862,9.69E-05,0.005208486,targetprofiler-Yes,targetscan-Yes,miRanda-Yes,0.5061536746700956,1.608467635400364
PAQR8,hsa-mir-96,-0.184743384,0.001549714,0.014200145,0.608752688,0.000218134,0.008708871,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.5103209815144721,3.155378758196169
FTH1,hsa-mir-664,0.295642633,2.79E-07,1.33E-05,-0.502790024,0.003358622,0.047639109,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.8100035103714296,1.2399236141858918
PHC1,hsa-mir-664,-0.221259368,0.00014156,0.002248517,0.464453789,0.007406845,0.076830545,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.1795090257070655,1.2399236141858918
